"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"RS_MN006","2564","20131029","5.5","9","1"
"RS_MN006","2564","20131030","1.3","9","1"
"RS_MN006","2564","20131031","5.8","9","1"
"RS_MN006","2564","20131101","2.3","9","1"
"RS_MN006","2564","20131102","8.2","9","1"
"RS_MN006","2564","20131103","0.3","9","1"
"RS_MN006","2564","20131104","6.5","9","1"
"RS_MN006","2564","20131105","2.2","9","1"
"RS_MN006","2564","20131106","4.3","9","1"
"RS_MN006","2564","20131107","0.5","9","1"
"RS_MN006","2564","20131108","2.6","9","1"
"RS_MN006","2564","20131109","11.7","9","1"
"RS_MN006","2564","20131110","0.2","9","1"
"RS_MN006","2564","20131111","0","9","1"
"RS_MN006","2564","20131112","1.7","9","1"
"RS_MN006","2564","20131113","0","9","1"
"RS_MN006","2564","20131114","0","9","1"
"RS_MN006","2564","20131115","0","9","1"
"RS_MN006","2564","20131116","0","9","1"
"RS_MN006","2564","20131117","0","9","1"
"RS_MN006","2564","20131118","0.1","9","1"
"RS_MN006","2564","20131119","0.1","9","1"
"RS_MN006","2564","20131120","0","9","1"
"RS_MN006","2564","20131121","1.2","9","1"
"RS_MN006","2564","20131122","0","9","1"
"RS_MN006","2564","20131123","0.2","9","1"
"RS_MN006","2564","20131124","0","9","1"
"RS_MN006","2564","20131125","0","9","1"
"RS_MN006","2564","20131126","0.8","9","1"
"RS_MN006","2564","20131127","0.6","9","1"
"RS_MN006","2564","20131128","0","9","1"
"RS_MN006","2564","20131129","10.6","9","1"
"RS_MN006","2564","20131130","0.1","9","1"
"RS_MN006","2564","20131201","0.1","9","1"
"RS_MN006","2564","20131202","0","9","1"
"RS_MN006","2564","20131203","0","9","1"
"RS_MN006","2564","20131204","1.9","9","1"
"RS_MN006","2564","20131205","10.2","9","1"
"RS_MN006","2564","20131206","2.1","9","1"
"RS_MN006","2564","20131207","1.6","9","1"
"RS_MN006","2564","20131208","12","9","1"
"RS_MN006","2564","20131209","0.1","9","1"
"RS_MN006","2564","20131210","0","9","1"
"RS_MN006","2564","20131211","0","9","1"
"RS_MN006","2564","20131212","0.4","9","1"
"RS_MN006","2564","20131213","3.6","9","1"
"RS_MN006","2564","20131214","0.4","9","1"
"RS_MN006","2564","20131215","1.7","9","1"
"RS_MN006","2564","20131216","1.5","9","1"
"RS_MN006","2564","20131217","0.2","9","1"
"RS_MN006","2564","20131218","0","9","1"
"RS_MN006","2564","20131219","5.9","9","1"
"RS_MN006","2564","20131220","0","9","1"
"RS_MN006","2564","20131221","3.3","9","1"
"RS_MN006","2564","20131222","1.7","9","1"
"RS_MN006","2564","20131223","0.8","9","1"
"RS_MN006","2564","20131224","7.5","9","1"
"RS_MN006","2564","20131225","0.3","9","1"
