"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"SDK_MN004","2564","20131105","2.8","3","0"
"SDK_MN004","2564","20131106","3.1","3","0"
"SDK_MN004","2564","20131107","1.6","3","0"
"SDK_MN004","2564","20131108","4.7","3","0"
"SDK_MN004","2564","20131109","1.4","3","0"
"SDK_MN004","2564","20131110","4.6","3","0"
"SDK_MN004","2564","20131111","4.6","3","0"
"SDK_MN004","2564","20131112","0","3","0"
"SDK_MN004","2564","20131113","5.4","3","0"
"SDK_MN004","2564","20131114","1.3","3","0"
"SDK_MN004","2564","20131115","0","3","0"
"SDK_MN004","2564","20131116","0","3","0"
"SDK_MN004","2564","20131117","3.9","3","0"
"SDK_MN004","2564","20131118","0","3","0"
"SDK_MN004","2564","20131119","0","3","0"
"SDK_MN004","2564","20131120","1.1","3","0"
"SDK_MN004","2564","20131121","5","3","0"
"SDK_MN004","2564","20131122","0","3","0"
"SDK_MN004","2564","20131123","3.8","3","0"
"SDK_MN004","2564","20131124","5","3","0"
"SDK_MN004","2564","20131125","5.7","3","0"
"SDK_MN004","2564","20131126","4","3","0"
"SDK_MN004","2564","20131127","0","3","0"
"SDK_MN004","2564","20131128","3","3","0"
"SDK_MN004","2564","20131129","0","3","0"
"SDK_MN004","2564","20131130","0","3","0"
"SDK_MN004","2564","20131201","0.5","3","0"
"SDK_MN004","2564","20131202","1.9","3","0"
"SDK_MN004","2564","20131203","0","3","0"
"SDK_MN004","2564","20131204","0","3","0"
"SDK_MN004","2564","20131205","0","3","0"
"SDK_MN004","2564","20131206","0.2","3","0"
"SDK_MN004","2564","20131207","1.7","3","0"
"SDK_MN004","2564","20131208","0","3","0"
"SDK_MN004","2564","20131209","0","3","0"
"SDK_MN004","2564","20131210","0","3","0"
"SDK_MN004","2564","20131211","0","3","0"
"SDK_MN004","2564","20131212","0","3","0"
"SDK_MN004","2564","20131213","0","3","0"
"SDK_MN004","2564","20131214","0","3","0"
"SDK_MN004","2564","20131215","0","3","0"
"SDK_MN004","2564","20131216","0","3","0"
"SDK_MN004","2564","20131217","0.1","3","0"
"SDK_MN004","2564","20131218","0.2","3","0"
"SDK_MN004","2564","20131219","0","3","0"
"SDK_MN004","2564","20131220","0","3","0"
"SDK_MN004","2564","20131221","0","3","0"
"SDK_MN004","2564","20131222","0.1","3","0"
"SDK_MN004","2564","20131223","2","3","0"
"SDK_MN004","2564","20131224","0","3","0"
"SDK_MN004","2564","20131225","0.3","3","0"
"SDK_MN004","2564","20131226","0","3","0"
"SDK_MN004","2564","20131227","0","3","0"
"SDK_MN004","2564","20131228","0","3","0"
"SDK_MN004","2564","20131229","0","3","0"
"SDK_MN004","2564","20131230","2.8","3","0"
"SDK_MN004","2564","20131231","2.8","3","0"
"SDK_MN004","2564","20140101","0.5","3","0"
"SDK_MN004","2564","20140102","0","3","0"
"SDK_MN004","2564","20140103","0","3","0"
"SDK_MN004","2564","20140104","1.1","3","0"
"SDK_MN004","2564","20140105","0","3","0"
"SDK_MN004","2564","20140106","0","3","0"
"SDK_MN004","2564","20140107","0.3","3","0"
"SDK_MN004","2564","20140108","0","3","0"
"SDK_MN004","2564","20140109","0","3","0"
"SDK_MN004","2564","20140110","0.6","3","0"
"SDK_MN004","2564","20140111","0","3","0"
"SDK_MN004","2564","20140112","3.6","3","0"
"SDK_MN004","2564","20140113","0","3","0"
"SDK_MN004","2564","20140114","1.2","3","0"
"SDK_MN004","2564","20140115","0","3","0"
"SDK_MN004","2564","20140116","0","3","0"
"SDK_MN004","2564","20140117","0.4","3","0"
"SDK_MN004","2564","20140118","0","3","0"
"SDK_MN004","2564","20140119","0","3","0"
"SDK_MN004","2564","20140120","0","3","0"
"SDK_MN004","2564","20140121","0","3","0"
"SDK_MN004","2564","20140122","0","3","0"
"SDK_MN004","2564","20140123","0","3","0"
"SDK_MN004","2564","20140124","4.4","3","0"
"SDK_MN004","2564","20140125","2.2","3","0"
"SDK_MN004","2564","20140126","5.8","3","0"
"SDK_MN004","2564","20140127","2.6","3","0"
"SDK_MN004","2564","20140128","0","3","0"
"SDK_MN004","2564","20140129","0","3","0"
"SDK_MN004","2564","20140130","0","3","0"
"SDK_MN004","2564","20140131","0","3","0"
"SDK_MN004","2564","20140201","0","3","0"
"SDK_MN004","2564","20140202","5.2","3","0"
"SDK_MN004","2564","20140203","5","3","0"
"SDK_MN004","2564","20140204","3.4","3","0"
"SDK_MN004","2564","20140205","2.9","3","0"
"SDK_MN004","2564","20140206","0.2","3","0"
"SDK_MN004","2564","20140207","0.3","3","0"
"SDK_MN004","2564","20140208","0","3","0"
"SDK_MN004","2564","20140209","2.3","3","0"
"SDK_MN004","2564","20140210","5.2","3","0"
"SDK_MN004","2564","20140211","1.6","3","0"
"SDK_MN004","2564","20140212","3.7","3","0"
"SDK_MN004","2564","20140213","2.6","3","0"
"SDK_MN004","2564","20140214","2.6","3","0"
"SDK_MN004","2564","20140215","1.2","3","0"
"SDK_MN004","2564","20140216","0.3","3","0"
"SDK_MN004","2564","20140217","7.1","3","0"
"SDK_MN004","2564","20140218","0.6","3","0"
"SDK_MN004","2564","20140219","0","3","0"
"SDK_MN004","2564","20140220","1.7","3","0"
"SDK_MN004","2564","20140221","0","3","0"
"SDK_MN004","2564","20140222","1.3","3","0"
"SDK_MN004","2564","20140223","8","3","0"
"SDK_MN004","2564","20140224","7.2","3","0"
"SDK_MN004","2564","20140225","6.7","3","0"
"SDK_MN004","2564","20140226","3.3","3","0"
"SDK_MN004","2564","20140227","6.7","3","0"
"SDK_MN004","2564","20140228","0.2","3","0"
"SDK_MN004","2564","20140301","3.8","3","0"
"SDK_MN004","2564","20140302","2.3","3","0"
"SDK_MN004","2564","20140303","7","3","0"
"SDK_MN004","2564","20140304","0.3","3","0"
"SDK_MN004","2564","20140305","0","3","0"
"SDK_MN004","2564","20140306","5.1","3","0"
"SDK_MN004","2564","20140307","1.9","3","0"
"SDK_MN004","2564","20140308","9.6","3","0"
"SDK_MN004","2564","20140309","10.3","3","0"
"SDK_MN004","2564","20140310","10.4","3","0"
"SDK_MN004","2564","20140311","10.9","3","0"
"SDK_MN004","2564","20140312","11","3","0"
